#+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   IPW-3 Final Ice Shape DATA SUBMITTAL FORM for Test Case NACA0012_AE3933, May 18th 2026
#
#       NOMENCLATURE:
#             X_ICED [m]:  X-coordinate of the iced surface
#             Y_ICED [m]:  Y-coordinate of the iced surface
#             Z_ICED [m]:  Z-coordinate of the iced surface
#
#                XXmm:  Roughness height used for the case, in mm.
#                       In the zone name, use the format KS_XXmm.
#                       For example, if k_s = 1.5 mm, use KS_1p5mm. 
#                       For Variable roughness, use KS_VAR
#
#    FLOW CONDITIONS:
#                                   AOA: 4.0 deg
#                           Mach Number: 0.3127 [-]
#       Mean aerodynamic chord (M.A.C.): 0.5334 [m]
#                       Reynolds Number: 3.8947 million (based on MAC)
#                       Freestream Temp: 270.95 [K]
#                        Reference area: 0.97548 [m2]
#               Moment Reference Center: 0.13335, 0, 0 [m] (X, Y, Z)
#
#    ICING CONDITIONS:
#                           Icing Time: 420 [s]
#                                  LWC: 0.55 [g/m3]
#                                  MVD: 20 [μm]
#
#              NOTES: 1. Please use at least 5 decimal places in the numerical values
#                     2. If data are NOT provided, please fill data fields with a numerical value of "-999" 
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

AUXDATA NUM_LAYERS  = "insert the number of total ice layers"
                                              
VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"

ZONE T="SLICE_Y_0p9144_BINS15_KS_XXmm_SINGLE_LAYER"
2.574993968E-01 9.144000411E-01 -3.741405159E-02
2.556157708E-01 9.144000411E-01 -3.739584237E-02
2.537322044E-01 9.144000411E-01 -3.737461939E-02
2.518486083E-01 9.144000411E-01 -3.735339642E-02
2.499650866E-01 9.144000411E-01 -3.732900321E-02
2.480815500E-01 9.144000411E-01 -3.730460629E-02
2.461980581E-01 9.144000411E-01 -3.727706149E-02
2.443145514E-01 9.144000411E-01 -3.724952042E-02
2.424311042E-01 9.144000411E-01 -3.721869737E-02
2.405476570E-01 9.144000411E-01 -3.718787059E-02
2.386642694E-01 9.144000411E-01 -3.715369478E-02
2.367808819E-01 9.144000411E-01 -3.711951897E-02
2.348975688E-01 9.144000411E-01 -3.708196059E-02
2.330142409E-01 9.144000411E-01 -3.704439849E-02
2.311310023E-01 9.144000411E-01 -3.700327128E-02
2.292477489E-01 9.144000411E-01 -3.696214780E-02
2.273645848E-01 9.144000411E-01 -3.691746667E-02
2.254814059E-01 9.144000411E-01 -3.687277809E-02
2.235983461E-01 9.144000411E-01 -3.682442755E-02
2.217152566E-01 9.144000411E-01 -3.677607328E-02
2.198322862E-01 9.144000411E-01 -3.672390431E-02
2.179493010E-01 9.144000411E-01 -3.667173535E-02
2.160664499E-01 9.144000411E-01 -3.661573306E-02
2.141835690E-01 9.144000411E-01 -3.655973449E-02
2.123008370E-01 9.144000411E-01 -3.649976104E-02
2.104180753E-01 9.144000411E-01 -3.643978760E-02
2.085354924E-01 9.144000411E-01 -3.637571633E-02
2.066528648E-01 9.144000411E-01 -3.631164506E-02
2.047704160E-01 9.144000411E-01 -3.624342382E-02
2.028879374E-01 9.144000411E-01 -3.617520630E-02
2.010056525E-01 9.144000411E-01 -3.610270843E-02
1.991233379E-01 9.144000411E-01 -3.603020310E-02
1.972412318E-01 9.144000411E-01 -3.595326841E-02
1.953590810E-01 9.144000411E-01 -3.587632999E-02
1.934771538E-01 9.144000411E-01 -3.579489514E-02
1.915952116E-01 9.144000411E-01 -3.571346402E-02
1.897135079E-01 9.144000411E-01 -3.562740609E-02
1.878317595E-01 9.144000411E-01 -3.554134816E-02
1.859502494E-01 9.144000411E-01 -3.545050323E-02
1.840687394E-01 9.144000411E-01 -3.535966203E-02
1.821874827E-01 9.144000411E-01 -3.526389226E-02
1.803062111E-01 9.144000411E-01 -3.516812623E-02
1.784252375E-01 9.144000411E-01 -3.506734222E-02
1.765442193E-01 9.144000411E-01 -3.496655449E-02
1.746635139E-01 9.144000411E-01 -3.486059234E-02
1.727827936E-01 9.144000411E-01 -3.475462645E-02
1.709023863E-01 9.144000411E-01 -3.464334458E-02
1.690219790E-01 9.144000411E-01 -3.453206271E-02
1.671418995E-01 9.144000411E-01 -3.441529348E-02
1.652618200E-01 9.144000411E-01 -3.429852426E-02
1.633821279E-01 9.144000411E-01 -3.417608142E-02
1.615023911E-01 9.144000411E-01 -3.405363858E-02
1.596230716E-01 9.144000411E-01 -3.392537683E-02
1.577437371E-01 9.144000411E-01 -3.379711136E-02
1.558648199E-01 9.144000411E-01 -3.366313130E-02
1.539858878E-01 9.144000411E-01 -3.352914751E-02
1.521071643E-01 9.144000411E-01 -3.339232504E-02
1.502284259E-01 9.144000411E-01 -3.325551376E-02
1.483499259E-01 9.144000411E-01 -3.311527520E-02
1.464714110E-01 9.144000411E-01 -3.297504038E-02
1.445933431E-01 9.144000411E-01 -3.282893449E-02
1.427152455E-01 9.144000411E-01 -3.268282488E-02
1.408375800E-01 9.144000411E-01 -3.253085166E-02
1.389599293E-01 9.144000411E-01 -3.237887844E-02
1.370827258E-01 9.144000411E-01 -3.222090006E-02
1.352055222E-01 9.144000411E-01 -3.206292167E-02
1.333288401E-01 9.144000411E-01 -3.189846128E-02
1.314521283E-01 9.144000411E-01 -3.173399717E-02
1.295759827E-01 9.144000411E-01 -3.156302124E-02
1.276998073E-01 9.144000411E-01 -3.139204532E-02
1.258242130E-01 9.144000411E-01 -3.121446632E-02
1.239485964E-01 9.144000411E-01 -3.103688546E-02
1.221369654E-01 9.144000411E-01 -3.085867874E-02
1.203253120E-01 9.144000411E-01 -3.068046831E-02
1.186004952E-01 9.144000411E-01 -3.050453030E-02
1.168756634E-01 9.144000411E-01 -3.032859042E-02
1.152334511E-01 9.144000411E-01 -3.015578352E-02
1.135912165E-01 9.144000411E-01 -2.998297289E-02
1.120276377E-01 9.144000411E-01 -2.981345542E-02
1.104640439E-01 9.144000411E-01 -2.964393795E-02
1.089754328E-01 9.144000411E-01 -2.947715297E-02
1.074868068E-01 9.144000411E-01 -2.931036614E-02
1.060695872E-01 9.144000411E-01 -2.914650552E-02
1.046523377E-01 9.144000411E-01 -2.898264118E-02
1.033030152E-01 9.144000411E-01 -2.882227115E-02
1.019536778E-01 9.144000411E-01 -2.866190113E-02
1.006689072E-01 9.144000411E-01 -2.850585058E-02
9.938412905E-02 9.144000411E-01 -2.834979631E-02
9.816083312E-02 9.144000411E-01 -2.819807641E-02
9.693752229E-02 9.144000411E-01 -2.804635838E-02
9.577281028E-02 9.144000411E-01 -2.789844945E-02
9.460808337E-02 9.144000411E-01 -2.775054052E-02
9.349919856E-02 9.144000411E-01 -2.760618180E-02
9.239029139E-02 9.144000411E-01 -2.746182494E-02
9.133467823E-02 9.144000411E-01 -2.732033096E-02
9.027904272E-02 9.144000411E-01 -2.717883885E-02
8.927402645E-02 9.144000411E-01 -2.704110928E-02
8.826898783E-02 9.144000411E-01 -2.690338157E-02
8.731163293E-02 9.144000411E-01 -2.677241527E-02
8.635428548E-02 9.144000411E-01 -2.664145082E-02
8.539768308E-02 9.144000411E-01 -2.650849894E-02
8.444109559E-02 9.144000411E-01 -2.637554891E-02
8.348477632E-02 9.144000411E-01 -2.623985708E-02
8.252847195E-02 9.144000411E-01 -2.610416524E-02
8.157242090E-02 9.144000411E-01 -2.596585080E-02
8.061636984E-02 9.144000411E-01 -2.582753636E-02
7.966060191E-02 9.144000411E-01 -2.568642423E-02
7.870484143E-02 9.144000411E-01 -2.554531395E-02
7.774937153E-02 9.144000411E-01 -2.540130727E-02
7.679390907E-02 9.144000411E-01 -2.525730245E-02
7.583875209E-02 9.144000411E-01 -2.511029504E-02
7.488361001E-02 9.144000411E-01 -2.496328577E-02
7.392878830E-02 9.144000411E-01 -2.481317706E-02
7.297397405E-02 9.144000411E-01 -2.466307022E-02
7.201941311E-02 9.144000411E-01 -2.451019175E-02
7.106486708E-02 9.144000411E-01 -2.435731329E-02
7.011036575E-02 9.144000411E-01 -2.420270629E-02
6.915587932E-02 9.144000411E-01 -2.404809743E-02
6.820131838E-02 9.144000411E-01 -2.389216423E-02
6.724677235E-02 9.144000411E-01 -2.373623103E-02
6.629233062E-02 9.144000411E-01 -2.357795089E-02
6.533788890E-02 9.144000411E-01 -2.341967262E-02
6.438368559E-02 9.144000411E-01 -2.325830981E-02
6.342948228E-02 9.144000411E-01 -2.309694886E-02
6.247557327E-02 9.144000411E-01 -2.293215878E-02
6.152167171E-02 9.144000411E-01 -2.276737243E-02
6.056806073E-02 9.144000411E-01 -2.259909175E-02
5.961446464E-02 9.144000411E-01 -2.243081294E-02
5.866112188E-02 9.144000411E-01 -2.225897089E-02
5.770779401E-02 9.144000411E-01 -2.208713070E-02
5.675469339E-02 9.144000411E-01 -2.191176638E-02
5.580160394E-02 9.144000411E-01 -2.173640020E-02
5.484849587E-02 9.144000411E-01 -2.155839838E-02
5.389540270E-02 9.144000411E-01 -2.138039656E-02
5.294184387E-02 9.144000411E-01 -2.120139822E-02
5.198829994E-02 9.144000411E-01 -2.102239989E-02
5.103431270E-02 9.144000411E-01 -2.084201574E-02
5.008033663E-02 9.144000411E-01 -2.066162974E-02
4.912620783E-02 9.144000411E-01 -2.047823556E-02
4.817209393E-02 9.144000411E-01 -2.029484138E-02
4.721784964E-02 9.144000411E-01 -2.010785602E-02
4.626362398E-02 9.144000411E-01 -1.992087252E-02
4.530924559E-02 9.144000411E-01 -1.973005384E-02
4.435488209E-02 9.144000411E-01 -1.953923330E-02
4.340034351E-02 9.144000411E-01 -1.934427023E-02
4.244581982E-02 9.144000411E-01 -1.914930902E-02
4.136743769E-02 9.144000411E-01 -1.938630268E-02
4.029363766E-02 9.144000411E-01 -1.960719191E-02
3.907073662E-02 9.144000411E-01 -2.030730806E-02
3.784571216E-02 9.144000411E-01 -2.101522870E-02
3.684317321E-02 9.144000411E-01 -2.092138492E-02
3.583815694E-02 9.144000411E-01 -2.083606832E-02
3.488535061E-02 9.144000411E-01 -2.056555077E-02
3.393255174E-02 9.144000411E-01 -2.029503509E-02
3.298066929E-02 9.144000411E-01 -2.001496032E-02
3.202880174E-02 9.144000411E-01 -1.973489299E-02
3.107776493E-02 9.144000411E-01 -1.944551989E-02
3.012673929E-02 9.144000411E-01 -1.915615052E-02
2.917592414E-02 9.144000411E-01 -1.885798387E-02
2.822511829E-02 9.144000411E-01 -1.855982468E-02
2.727490477E-02 9.144000411E-01 -1.825014316E-02
2.632469870E-02 9.144000411E-01 -1.794046536E-02
2.537620254E-02 9.144000411E-01 -1.761627756E-02
2.442771383E-02 9.144000411E-01 -1.729209349E-02
2.348072082E-02 9.144000411E-01 -1.695424877E-02
2.253373526E-02 9.144000411E-01 -1.661640778E-02
2.158687636E-02 9.144000411E-01 -1.626617275E-02
2.064002678E-02 9.144000411E-01 -1.591594331E-02
1.969402656E-02 9.144000411E-01 -1.554879081E-02
1.874803565E-02 9.144000411E-01 -1.518164389E-02
1.780448481E-02 9.144000411E-01 -1.479380764E-02
1.686094329E-02 9.144000411E-01 -1.440597698E-02
1.591860130E-02 9.144000411E-01 -1.399931777E-02
1.497626584E-02 9.144000411E-01 -1.359266415E-02
1.403384656E-02 9.144000411E-01 -1.316506322E-02
1.309143379E-02 9.144000411E-01 -1.273746882E-02
1.215155516E-02 9.144000411E-01 -1.228031795E-02
1.121168211E-02 9.144000411E-01 -1.182317361E-02
1.027141232E-02 9.144000411E-01 -1.134055667E-02
9.331145324E-03 9.144000411E-01 -1.085794903E-02
8.378570899E-03 9.144000411E-01 -1.036041789E-02
7.425994612E-03 9.144000411E-01 -9.862900712E-03
6.455725059E-03 9.144000411E-01 -9.345210157E-03
5.485448055E-03 9.144000411E-01 -8.827539161E-03
4.497116432E-03 9.144000411E-01 -8.275868371E-03
3.508757567E-03 9.144000411E-01 -7.724236231E-03
2.544080606E-03 9.144000411E-01 -7.085136138E-03
1.579347183E-03 9.144000411E-01 -6.446098909E-03
7.765123737E-04 9.144000411E-01 -5.709489807E-03
-2.641820174E-05 9.144000411E-01 -4.972967319E-03
-6.789183244E-04 9.144000411E-01 -4.166696221E-03
-1.331612468E-03 9.144000411E-01 -3.360569943E-03
-1.944290590E-03 9.144000411E-01 -2.603912260E-03
-2.559949411E-03 9.144000411E-01 -1.849490916E-03
-2.856523264E-03 9.144000411E-01 -9.249360883E-04
-3.154274309E-03 9.144000411E-01 -6.903608210E-07
-4.399016034E-03 9.144000411E-01 3.496450663E-04
-5.638631061E-03 9.144000411E-01 7.032121648E-04
-6.986309309E-03 9.144000411E-01 1.191815711E-03
-8.334283717E-03 9.144000411E-01 1.680237707E-03
-8.833461441E-03 9.144000411E-01 2.637005411E-03
-9.333171882E-03 9.144000411E-01 3.593608038E-03
-1.015098114E-02 9.144000411E-01 4.554188810E-03
-1.096855383E-02 9.144000411E-01 5.514850840E-03
-1.166140102E-02 9.144000411E-01 6.632023025E-03
-1.235418580E-02 9.144000411E-01 7.749212440E-03
-1.284094248E-02 9.144000411E-01 9.002060629E-03
-1.332767028E-02 9.144000411E-01 1.025491301E-02
