#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   IPW-3 Ice Shape DATA SUBMITTAL FORM for Test Case NACA0012_AE3932, May 18th 2026
#
#       NOMENCLATURE:
#             X_ICED [m]:  X-coordinate of the iced surface
#             Y_ICED [m]:  Y-coordinate of the iced surface
#             Z_ICED [m]:  Z-coordinate of the iced surface
#
#                XXmm:  Roughness height used for the case, in mm.
#                       In the zone name, use the format KS_XXmm.
#                       For example, if k_s = 1.5 mm, use KS_1p5mm. 
#                       For Variable roughness, use KS_VAR
#
#    FLOW CONDITIONS:
#                                   AOA: 4.0 deg
#                           Mach Number: 0.3151 [-]
#       Mean aerodynamic chord (M.A.C.): 0.5334 [m]
#                       Reynolds Number: 3.9795 million (based on MAC)
#                       Freestream Temp: 267.55 [K]
#                        Reference area: 0.97548 [m2]
#               Moment Reference Center: 0.13335, 0, 0 [m] (X, Y, Z)
#
#    ICING CONDITIONS:
#                           Icing Time: 420 [s]
#                                  LWC: 0.55 [g/m3]
#                                  MVD: 20 [μm]
#
#              NOTES: 1. Please use at least 5 decimal places in the numerical values
#                     2. If data are NOT provided, please fill data fields with a numerical value of "-999" 
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

AUXDATA NUM_LAYERS  = "insert the number of total ice layers"
                                              
VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"

ZONE T="SLICE_Y_0p9144_BINS15_KS_1p0668mm_SINGLE_LAYER"
2.608457804E-01 9.144000411E-01 -3.744475916E-02
2.582716346E-01 9.144000411E-01 -3.742215410E-02
2.582716048E-01 9.144000411E-01 -3.742215410E-02
2.556974888E-01 9.144000411E-01 -3.739670292E-02
2.556974888E-01 9.144000411E-01 -3.739670292E-02
2.531233728E-01 9.144000411E-01 -3.736843169E-02
2.531233728E-01 9.144000411E-01 -3.736843169E-02
2.505493164E-01 9.144000411E-01 -3.733726218E-02
2.505492866E-01 9.144000411E-01 -3.733726218E-02
2.479752600E-01 9.144000411E-01 -3.730314597E-02
2.479752600E-01 9.144000411E-01 -3.730314597E-02
2.454012781E-01 9.144000411E-01 -3.726609051E-02
2.454012632E-01 9.144000411E-01 -3.726609051E-02
2.428273112E-01 9.144000411E-01 -3.722594306E-02
2.428273112E-01 9.144000411E-01 -3.722594306E-02
2.402534187E-01 9.144000411E-01 -3.718280420E-02
2.402534038E-01 9.144000411E-01 -3.718280420E-02
2.376795858E-01 9.144000411E-01 -3.713643551E-02
2.376795709E-01 9.144000411E-01 -3.713643551E-02
2.351057827E-01 9.144000411E-01 -3.708700091E-02
2.351057678E-01 9.144000411E-01 -3.708700091E-02
2.325320542E-01 9.144000411E-01 -3.703420609E-02
2.325320542E-01 9.144000411E-01 -3.703420609E-02
2.299584001E-01 9.144000411E-01 -3.697824478E-02
2.299584001E-01 9.144000411E-01 -3.697824478E-02
2.273848206E-01 9.144000411E-01 -3.691884130E-02
2.273848206E-01 9.144000411E-01 -3.691884130E-02
2.248113304E-01 9.144000411E-01 -3.685614839E-02
2.248113304E-01 9.144000411E-01 -3.685614839E-02
2.222379148E-01 9.144000411E-01 -3.678990155E-02
2.222379148E-01 9.144000411E-01 -3.678990155E-02
2.196646035E-01 9.144000411E-01 -3.672023118E-02
2.196645886E-01 9.144000411E-01 -3.672023118E-02
2.170913815E-01 9.144000411E-01 -3.664690256E-02
2.170913666E-01 9.144000411E-01 -3.664690256E-02
2.145182639E-01 9.144000411E-01 -3.657001629E-02
2.145182490E-01 9.144000411E-01 -3.657001629E-02
2.119452655E-01 9.144000411E-01 -3.648937121E-02
2.119452506E-01 9.144000411E-01 -3.648937121E-02
2.093723714E-01 9.144000411E-01 -3.640504181E-02
2.093723714E-01 9.144000411E-01 -3.640504181E-02
2.067996413E-01 9.144000411E-01 -3.631679714E-02
2.067996264E-01 9.144000411E-01 -3.631679714E-02
2.042270154E-01 9.144000411E-01 -3.622474894E-02
2.042270005E-01 9.144000411E-01 -3.622474894E-02
2.016545385E-01 9.144000411E-01 -3.612862527E-02
2.016545385E-01 9.144000411E-01 -3.612862527E-02
1.990822256E-01 9.144000411E-01 -3.602858260E-02
1.990822107E-01 9.144000411E-01 -3.602858260E-02
1.965100765E-01 9.144000411E-01 -3.592430428E-02
1.965100765E-01 9.144000411E-01 -3.592430428E-02
1.939380914E-01 9.144000411E-01 -3.581597656E-02
1.939380765E-01 9.144000411E-01 -3.581597656E-02
1.913663000E-01 9.144000411E-01 -3.570326418E-02
1.913662851E-01 9.144000411E-01 -3.570325673E-02
1.887946874E-01 9.144000411E-01 -3.558629006E-02
1.887946725E-01 9.144000411E-01 -3.558629006E-02
1.862232983E-01 9.144000411E-01 -3.546484560E-02
1.862232834E-01 9.144000411E-01 -3.546484560E-02
1.836521178E-01 9.144000411E-01 -3.533890471E-02
1.836521029E-01 9.144000411E-01 -3.533890471E-02
1.810811609E-01 9.144000411E-01 -3.520842269E-02
1.810811460E-01 9.144000411E-01 -3.520842269E-02
1.785104573E-01 9.144000411E-01 -3.507317975E-02
1.785104424E-01 9.144000411E-01 -3.507317975E-02
1.759399921E-01 9.144000411E-01 -3.493327275E-02
1.759399921E-01 9.144000411E-01 -3.493327275E-02
1.733698100E-01 9.144000411E-01 -3.478840739E-02
1.733697951E-01 9.144000411E-01 -3.478840739E-02
1.707999110E-01 9.144000411E-01 -3.463861346E-02
1.707998961E-01 9.144000411E-01 -3.463860974E-02
1.682302952E-01 9.144000411E-01 -3.448383510E-02
1.682302803E-01 9.144000411E-01 -3.448382765E-02
1.656610072E-01 9.144000411E-01 -3.432376683E-02
1.656610072E-01 9.144000411E-01 -3.432376683E-02
1.630920619E-01 9.144000411E-01 -3.415854648E-02
1.630920619E-01 9.144000411E-01 -3.415854275E-02
1.605234593E-01 9.144000411E-01 -3.398798034E-02
1.605234444E-01 9.144000411E-01 -3.398797661E-02
1.579550952E-01 9.144000411E-01 -3.381364420E-02
1.579550952E-01 9.144000411E-01 -3.381364420E-02
1.553868055E-01 9.144000411E-01 -3.363817558E-02
1.553867906E-01 9.144000411E-01 -3.363817185E-02
1.528187841E-01 9.144000411E-01 -3.345835209E-02
1.528187841E-01 9.144000411E-01 -3.345835209E-02
1.502511650E-01 9.144000411E-01 -3.327295184E-02
1.502511501E-01 9.144000411E-01 -3.327295184E-02
1.476838738E-01 9.144000411E-01 -3.308244422E-02
1.476838589E-01 9.144000411E-01 -3.308244422E-02
1.451169401E-01 9.144000411E-01 -3.288677707E-02
1.451169401E-01 9.144000411E-01 -3.288677707E-02
1.425504386E-01 9.144000411E-01 -3.268538043E-02
1.425504237E-01 9.144000411E-01 -3.268538043E-02
1.399843693E-01 9.144000411E-01 -3.247799724E-02
1.399843544E-01 9.144000411E-01 -3.247799724E-02
1.374187171E-01 9.144000411E-01 -3.226521611E-02
1.374187171E-01 9.144000411E-01 -3.226521239E-02
1.348534673E-01 9.144000411E-01 -3.204710037E-02
1.348534673E-01 9.144000411E-01 -3.204710037E-02
1.322886944E-01 9.144000411E-01 -3.182294965E-02
1.322886795E-01 9.144000411E-01 -3.182294965E-02
1.297244430E-01 9.144000411E-01 -3.159238026E-02
1.297244430E-01 9.144000411E-01 -3.159238026E-02
1.271607131E-01 9.144000411E-01 -3.135553747E-02
1.271606982E-01 9.144000411E-01 -3.135553375E-02
1.245974451E-01 9.144000411E-01 -3.111299872E-02
1.245974377E-01 9.144000411E-01 -3.111299872E-02
1.220346913E-01 9.144000411E-01 -3.086439893E-02
1.220346838E-01 9.144000411E-01 -3.086439893E-02
1.194725409E-01 9.144000411E-01 -3.060889989E-02
1.194725335E-01 9.144000411E-01 -3.060889803E-02
1.169110388E-01 9.144000411E-01 -3.034625016E-02
1.169110239E-01 9.144000411E-01 -3.034625016E-02
1.143501326E-01 9.144000411E-01 -3.007695451E-02
1.143501177E-01 9.144000411E-01 -3.007695265E-02
1.117897555E-01 9.144000411E-01 -2.980160154E-02
1.117897481E-01 9.144000411E-01 -2.980159968E-02
1.092074364E-01 9.144000411E-01 -2.951668017E-02
1.092074215E-01 9.144000411E-01 -2.951668017E-02
